2013,,,,,9,,,2,3,,3,,17,4,9,1,1,12,38,1,10,3,,3,7,89,,76,74,116,59,34,84,16,76,28,,15,107,685,,1,,4,,9,1,1,4,,,2,,22,813
2014,,,,,15,,,1,2,,4,,22,3,,7,,18,11,1,2,1,,3,18,64,,57,71,66,50,36,109,8,44,33,,10,101,585,,5,,,,9,,,3,1,,1,1,20,691
2015,,,,,3,3,,1,2,,3,,12,5,,3,,26,47,,9,6,,2,15,113,,45,116,71,46,47,82,22,57,48,,22,139,695,,7,,1,,5,,2,,3,,2,2,22,842
2016,,,,,9,,,1,4,,3,,17,,2,4,,21,2,,12,6,,7,4,58,,52,51,54,52,46,66,10,36,39,,12,112,530,,1,,,,10,,2,6,,,6,1,26,631
2017,,,,,13,,,5,5,3,1,,27,1,,2,,42,3,1,21,12,1,3,4,90,1,54,47,41,44,59,55,13,34,39,7,8,107,509,,,,,,10,,3,6,4,,2,1,26,652
2018,,,,,8,,1,1,2,2,,,14,1,,1,,30,1,,8,19,4,,7,71,2,53,43,43,36,50,40,21,31,73,17,,113,522,,,,1,,13,,,19,,,,,33,640
2019,,,,,8,,1,2,5,1,,,17,1,,1,,54,1,1,17,19,3,,7,104,1,58,43,38,42,59,44,15,34,56,12,,82,484,,,,,1,6,,,18,5,1,,2,33,638
2020,,,,,9,,2,,3,1,,,15,1,1,1,,25,5,,22,27,4,,13,99,1,55,62,50,29,84,68,14,34,58,9,,130,594,,,,,1,10,,3,19,3,1,,,37,745
2021,,,,,5,,2,1,8,,,,16,2,1,1,,20,2,1,19,23,11,,7,87,1,73,58,144,34,84,93,24,49,63,25,,150,798,1,,,3,3,4,,12,27,4,,,3,57,958
2022,1,,,,10,,2,1,5,3,,,22,,2,8,,5,1,2,8,13,5,,6,50,3,64,60,178,43,69,61,16,43,60,25,,127,749,,,,10,2,18,,8,29,5,3,,,75,896
2023,1,,,,8,,1,5,7,1,,,23,1,,4,1,18,4,2,14,20,5,,8,77,2,54,66,243,83,85,72,13,33,89,34,,179,953,1,1,,3,5,5,,3,15,5,,,,38,1091
2024,,,,,7,,1,2,11,1,,,22,,6,5,,11,12,,16,18,6,,7,81,3,103,208,304,131,53,269,26,40,99,42,,223,1501,1,,,2,5,6,1,7,4,6,5,,,37,1641
2025,,,,,4,,,1,8,1,,,14,,1,2,,2,7,,5,12,5,,23,57,11,126,155,180,115,54,591,58,68,85,48,,537,2028,,,,1,2,4,4,3,11,4,1,,1,31,2130
Grand Total,2,,9,4,245,6,12,62,111,13,38,2,504,56,224,72,6,769,283,12,277,403,44,136,295,2577,25,1495,1858,2445,1353,1416,2619,453,1137,1386,219,387,3302,18095,3,93,38,33,37,228,33,108,332,72,11,56,31,1075,22251
